Percent of Gas Turbine Electrical Load,"Duty of CC Reboiler, MMBTU/hr","LP Steam to CC Reboiler, lb/hr","LP Turbine Power, kW","DAC Steam Produced, lb/hr","Condenser Duty, MMBTU/hr","Total Steam Turbine Power, kW","Main Steam Flow, lb/hr","Main Steam Enthalpy, BTU/lb","Cold Reheat Enthalpy, BTU/lb","Hot Reheat Flow, lb/hr","Hot Reheat Enthalpy, BTU/lb","LP Steam Flow, lb/hr","LP Steam Enthalpy, lb/hr","Water Leaving Condenser, lb/hr",Enthalpy of Water Leaving Condenser,"Total Heat To Steam Cycle, MMBTU/hr","Steam Cycle Heat Rate, power only BTU/(kW*hr)",Steam Cycle Efficiency,"DAC Steam, lb/hr","DAC Steam DH, BTU/lb","DAC Steam Duty, MMBTU/hr","CC Reboiler Duty, MMBUT/hr","Total DAC + CC Reboiler Duty, MMBTU/hr","Total DAC + CC Reboiler Duty, kW",Steam Cycle Heat Rate (CHP) BTU/(kW*hr),Steam Cycle CHP Efficiency,"Makeup Water, gpm","Circulating Water Pumps, kW","Cooling Tower Fan, kW","Condensate Pumps, kW","Steam Turbine Auxiliaries, kW","Ground Water Pumps, kW","Misc BOP, kW","Transformer Losses, kW","Total ST and BOP Auxiliary Loads, kW","Combustion Turbine Power, kW","Steam Turbine Power, kW","Total Gross Power, kW","GT/HRSG Auxiliaries, kW","ST/BOP Auxiliaries, kW","Total Auxiliary Load, kW","Net Electrical Power, kW","NG Flow, lb/hr","HHV Heat Input, MMBTU/hr","Heat Rate (HHV), BTU/(kW*hr)","HHV Net Plant Efficiency, %","LHV Heat Input, MMBTU/hr","Heat Rate (LHV), BTU/(kW*hr)","LHV Net Plant Efficiency, %","Net Electrical Power, kW",DAC + CC Reboiler Duty,"Electrical Power and Useful Thermal, kW","Heat Rate (HHV), BTU/(kW*hr)","HHV Net Plant Efficiency, %","Heat Rate (LHV), BTU/(kW*hr)","LHV Net Plant Efficiency, %"
100,672,738082.1674,61281.19449,192609.6059,705,190473.3951,1071010,1517.681219,1338.357202,1218194.927,1566.311244,160051,1314.465869,1378245.927,69.12254925,2215.243933,11630.20133,0.293357333,192609.6059,976.8,188.1410631,672,860.1410631,252107.3456,5005.28769,0.681640109,1535.968468,1487.274775,772.7477477,147.7842671,144.8466883,137.6126126,570,2029.479918,5289.746008,477000,190473.3951,667473.3951,5852,5289.746008,11141.74601,656331.6491,205630,4615.57098,7032.376065,0.485156768,4167.50321,6349.691068,0.537318242,656331.6491,252107.3456,908438.9947,5080.771529,0.67151314,4587.543285,0.74371066
90,626,687558.6857,57444.50478,179842.7557,681,179979.5004,1013175.46,1520.922431,1340.694383,1152126.073,1566.983535,151408.246,1314.465869,1303534.319,69.12254925,2096.882579,11650.67452,0.29284183,179842.7557,976.8,175.6704038,626,801.6704038,234969.5953,5053.348954,0.675157183,1483.68018,1436.644144,746.4414414,139.7732147,136.8665402,132.9279279,570,1852.539021,5015.19229,429300,179979.5004,609279.5004,5266.8,5015.19229,10281.99229,598997.5081,191585.471,4300.327482,7179.207633,0.475234179,3882.862741,6482.268604,0.526328829,598997.5081,234969.5953,833967.1034,5156.471358,0.661654959,4655.894369,0.73279258
80,580,637035.204,52141.61981,167148.698,624,165331.2072,932528.407,1525.460744,1343.964696,1059996.698,1567.921563,139356.4057,1314.465869,1199353.104,69.12254925,1931.518795,11682.7236,0.29203848,167148.698,976.8,163.2708482,580,743.2708482,217852.6856,5040.709778,0.676850086,1359.495495,1316.396396,683.963964,128.6022443,125.7271537,121.8018018,570,1662.966508,4609.458068,381600,165331.2072,546931.2072,4681.6,4609.458068,9291.058068,537640.1491,177540.942,3985.083984,7412.177068,0.460297267,3598.222272,6692.621966,0.50978598,537640.1491,217852.6856,755492.8347,5274.813739,0.646810487,4762.748376,0.716352109
70,528,579921.7029,47702.27915,152605.9724,593,152929.0586,864305.07,1529.316296,1346.742176,982059.8685,1568.715595,129161.157,1314.465869,1111221.026,69.12254925,1791.339871,11713.53494,0.291270301,152605.9724,976.8,149.0655138,528,677.0655138,198447.9021,5098.057276,0.669236272,1291.956456,1250.998498,649.984985,119.1521641,116.295862,115.7507508,570,1480.223489,4302.405749,333900,152929.0586,486829.0586,4096.4,4302.405749,8398.805749,478430.2528,161501.802,3625.069448,7577.007152,0.450283968,3273.157021,6841.450769,0.498696104,478430.2528,198447.9021,676878.1549,5355.571636,0.637057083,4835.666504,0.705550071
60,475,521709.8653,43357.85288,137707.7238,563,140657.5051,796831.44,1533.143709,1349.49841,904979.4604,1569.50136,119077.944,1314.465869,1024057.404,69.12254925,1652.439277,11747.9638,0.290416697,137707.7238,976.8,134.5129047,475,609.5129047,178648.2324,5175.100487,0.659273159,1226.596096,1187.71021,617.1021021,109.8059279,106.9638822,109.8948949,570,1297.877549,3999.354567,286200,140657.5051,426857.5051,3511.2,3999.354567,7510.554567,419346.9505,145195.343,3259.054669,7771.738092,0.439001521,2942.674017,7017.277729,0.486200629,419346.9505,178648.2324,597995.1829,5449.968097,0.626022902,4920.899199,0.693329554
